70Zn,6.0,1.0,,,0.0,,,,4.5,,0.0,,4.5,1.5,0.092,
Ga,7.288,,,,,,,,6.675,,0.16,,6.83,,2.75,
69Ga,7.88,,,,-0.85,,,,7.8,,0.091,,7.89,,2.18,
71Ga,6.4,,,,-0.82,,,,5.15,,0.084,,5.23,,3.61,
Ge,8.185,,,,,,,,8.42,,0.18,,8.6,,2.2,
70Ge,10.0,,,,0.0,,,,12.6,,0.0,,12.6,,3.0,
72Ge,8.51,,,,0.0,,,,9.1,,0.0,,9.1,,0.8,
73Ge,5.02,,,,3.4,,,,3.17,,1.5,,4.7,,15.1,
74Ge,7.58,,,,0.0,,,,7.2,,0.0,,7.2,,0.4,
76Ge,8.2,,,,0.0,,,,8.0,3.0,0.0,,8.0,3.0,0.16,
As,6.58,,,,-0.69,,,,5.44,,0.06,,5.5,,4.5,
Se,7.97,,,,,,,,7.98,,0.32,,8.3,,11.7,
74Se,0.8,,,,0.0,,,,0.1,,0.0,,0.1,,51.8,1.2
76Se,12.2,,,,0.0,,,,18.7,,0.0,,18.7,,85.0,7.0
77Se,8.25,,,,0.6,1.6,,,8.6,,0.05,,8.65,,42.0,4.0
78Se,8.24,,,,0.0,,,,8.5,,0.0,,8.5,,0.43,
80Se,7.48,,,,0.0,,,,7.03,,0.0,,7.03,,0.61,
82Se,6.34,,,,0.0,,,,5.05,,0.0,,5.05,,0.044,
Br,6.795,,,,,,,,5.8,,0.1,,5.9,,6.9,
79Br,6.8,,,,-1.1,,,,5.81,,0.15,,5.96,,11.0,
81Br,6.79,,,,0.6,,,,5.79,,0.05,,5.84,,2.7,
Kr,7.81,,,,,,,,7.67,,0.01,,7.68,,25.0,1.0
78Kr,,,,,0.0,,,,,,0.0,,,,6.4,
80Kr,,,,,0.0,,,,,,0.0,,,,11.8,
82Kr,,,,,0.0,,,,,,0.0,,,,29.0,20.0
83Kr,,,,,,,,,,,,,,,185.0,30.0
84Kr,,,,,0.0,,,,,,0.0,,6.6,,0.113,
86Kr,8.1,,,,0.0,,,,8.2,,0.0,,8.2,,0.003,
Rb,7.09,,,,,,,,6.32,,0.5,,6.8,,0.38,
85Rb,7.03,,,,,,,,6.2,,0.5,,6.7,,0.48,
87Rb,7.23,,,,,,,,6.6,,0.5,,7.1,,0.12,
Sr,7.02,,,,,,,,6.19,,0.06,,6.25,,1.28,
84Sr,7.0,1.0,,,0.0,,,,6.0,2.0,0.0,,6.0,2.0,0.87,
86Sr,5.67,,,,0.0,,,,4.04,,0.0,,4.04,,1.04,
87Sr,7.4,,,,,,,,6.88,,0.5,,7.4,,16.0,3.0
88Sr,7.15,,,,0.0,,,,6.42,,0.0,,6.42,,0.058,
Y,7.75,,,,1.1,,,,7.55,,0.15,,7.7,,1.28,
Zr,7.16,,,,,,,,6.44,,0.02,,6.46,,0.185,
90Zr,6.4,,,,0.0,,,,5.1,,0.0,,5.1,,0.011,
91Zr,8.7,,,,-1.08,,,,9.5,,0.15,,9.7,,1.17,
92Zr,7.4,,,,0.0,,,,6.9,,0.0,,6.9,,0.22,
94Zr,8.2,,,,0.0,,,,8.4,,0.0,,8.4,,0.0499,
96Zr,5.5,,,,0.0,,,,3.8,,0.0,,3.8,,0.0229,
Nb,7.054,,,,-0.139,,,,6.253,,0.0024,,6.255,,1.15,
Mo,6.715,,,,,,,,5.67,,0.04,,5.71,,2.48,
92Mo,6.91,,,,0.0,,,,6.0,,0.0,,6.0,,0.019,
94Mo,6.8,,,,0.0,,,,5.81,,0.0,,5.81,,0.015,
95Mo,6.91,,,,,,,,6.0,,0.5,,6.5,,13.1,
96Mo,6.2,,,,0.0,,,,4.83,,0.0,,4.83,,0.5,
97Mo,7.24,,,,,,,,6.59,,0.5,,7.1,,2.5,
98Mo,6.58,,,,0.0,,,,5.44,,0.0,,5.44,,0.127,
100Mo,6.73,,,,0.0,,,,5.69,,0.0,,5.69,,0.4,
Tc,6.8,,,,,,,,5.8,,0.5,,6.3,,20.0,1.0
Ru,7.03,,,,,,,,6.21,,0.4,,6.6,,2.56,
96Ru,,,,,0.0,,,,,,0.0,,,,0.28,
98Ru,,,,,0.0,,,,,,0.0,,,,,
99Ru,,,,,,,,,,,,,,,6.9,1.0
100Ru,,,,,0.0,,,,,,0.0,,,,4.8,
101Ru,,,,,,,,,,,,,,,3.3,
102Ru,,,,,0.0,,,,,,0.0,,144.8,,1.17,
104Ru,,,,,0.0,,,,,,0.0,,4.483,,0.31,
Rh,5.88,,,,,,,,4.34,,0.3,,4.6,,144.8,
Pd,5.91,,,,,,,,4.39,,0.093,,4.48,,6.9,
102Pd,7.7,7.0,,,0.0,,,,7.5,1.4,0.0,,7.5,1.4,3.4,
104Pd,7.7,7.0,,,0.0,,,,7.5,1.4,0.0,,7.5,1.4,0.6,
105Pd,5.5,,,,-2.6,1.6,,,3.8,,0.8,,4.6,1.1,20.0,3.0
106Pd,6.4,,,,0.0,,,,5.1,,0.0,,5.1,,0.304,
108Pd,4.1,,,,0.0,,,,2.1,,0.0,,2.1,,8.55,
110Pd,7.7,7.0,,,0.0,,,,7.5,1.4,0.0,,7.5,1.4,0.226,
Ag,5.922,,,,,,,,4.407,,0.58,,4.99,,63.3,
107Ag,7.555,,,,1.0,,,,7.17,,0.13,,7.3,,37.6,1.2
109Ag,4.165,,,,-1.6,,,,2.18,,0.32,,2.5,,91.0,1.0
