# Numbers extracted using tools/atomic_weights.ipynb from https://www.ciaaw.org/atomic-masses.htm
Isotope,Atomic Mass [Da],Uncertainty [Da]
202Fr,202.003329637,0.000006476
202Hg,201.970643604,0.000000757
202Ir,201.982136,0.000322
202Os,201.986548,0.000429
202Pb,201.972151613,0.000004075
202Po,201.980738934,0.000009307
202Pt,201.975639,0.000027000
202Ra,202.009742305,0.000016122
202Rn,201.993263982,0.000018808
202Tl,201.972108874,0.000001972
203At,202.986942904,0.000011404
203Au,202.975154492,0.000003309
203Bi,202.976892077,0.000013717
203Fr,203.000940867,0.000006689
203Hg,202.972872396,0.000001750
203Ir,202.984573,0.000429
203Os,202.992195,0.000429
203Pb,202.973390617,0.000007036
203Po,202.981416072,0.000004981
203Pt,202.979055,0.000215
203Ra,203.009233907,0.000010400
203Rn,202.993361155,0.000006242
203Tl,202.972344098,0.000001257
204At,203.987251393,0.000024335
204Au,203.97811,0.000215
204Bi,203.977835687,0.000009854
204Fr,204.000651972,0.000026389
204Hg,203.973494037,0.000000534
204Ir,203.989726,0.000429
204Pb,203.973043506,0.000001231
204Po,203.980310078,0.000010811
204Pt,203.981084,0.000215
204Ra,204.006506855,0.000009580
204Rn,203.991443729,0.000007991
204Tl,203.97386342,0.000001238
205Ac,205.015144152,0.000063682
205At,204.986060546,0.000012941
205Au,204.980064,0.000215
205Bi,204.977385182,0.000005161
205Fr,204.998593854,0.000008399
205Hg,204.976073151,0.000003923
205Ir,204.993988,0.000537
205Pb,204.974481682,0.000001228
205Po,204.981190006,0.000010798
205Pt,204.986237,0.000322
205Ra,205.006230692,0.000024446
205Rn,204.991723228,0.000005453
205Tl,204.974427318,0.000001330
206Ac,206.014476477,0.000069874
206At,205.986645768,0.000014523
206Au,205.984766,0.000322
206Bi,205.978498843,0.000008193
206Fr,205.998661441,0.000029856
206Hg,205.977513837,0.000021943
206Pb,205.97446521,0.000001228
206Po,205.980473662,0.000004306
206Pt,205.99008,0.000322
206Ra,206.003827842,0.000019332
206Rn,205.990195409,0.000009223
206Tl,205.976110108,0.000001380
207Ac,207.011965967,0.000060384
207At,206.985799715,0.000013318
207Au,206.988577,0.000322
207Bi,206.978470551,0.000002573
207Fr,206.99694145,0.000018847
207Hg,206.9823,0.000032000
207Pb,206.975896821,0.000001231
207Po,206.981593334,0.000007148
207Pt,206.995556,0.000429
207Ra,207.00377242,0.000062572
207Rn,206.990730224,0.000005090
207Tl,206.977418605,0.000005839
208Ac,208.011552251,0.000069225
208At,207.986613011,0.000009577
208Au,207.993655,0.000322
208Bi,207.97974206,0.000002474
208Fr,207.997139082,0.000012514
208Hg,207.985759,0.000033000
208Pb,207.976652005,0.000001232
208Po,207.981246035,0.000001795
208Pt,207.999463,0.000429
208Ra,208.001855012,0.000009686
208Rn,207.989634513,0.000010910
208Th,208.017915348,0.000034208
208Tl,207.982018006,0.000001989
209Ac,209.009495375,0.000059953
209At,208.986168701,0.000005094
209Au,208.997606,0.000429
209Bi,208.980398599,0.000001465
209Fr,208.995939701,0.000012349
209Hg,208.990757,0.000161
209Pb,208.981089978,0.000001875
209Po,208.982430361,0.000001909
209Ra,209.001994902,0.000006169
209Rn,208.990401389,0.000010692
209Th,209.017601,0.000111
209Tl,208.985351713,0.000006559
20B,20.074505644,0.000586538
20C,20.040261732,0.000247585
20F,19.999981252,0.000000031
20Mg,20.018763075,0.000002000
20N,20.023367295,0.000084696
20Na,20.007354301,0.000001190
20Ne,19.99244017525,0.00000000165
20O,20.004075357,0.000000950
210Ac,210.009408625,0.000066782
210At,209.987147423,0.000008261
210Au,210.002877,0.000429
210Bi,209.984120237,0.000001463
210Fr,209.996410596,0.000014407
210Hg,209.99431,0.000215
210Pb,209.984188381,0.000001554
210Po,209.982873686,0.000001230
210Ra,210.000475406,0.000009868
210Rn,209.989688862,0.000004892
210Th,210.015093515,0.000020299
210Tl,209.990072942,0.000012456
211Ac,211.007668846,0.000057706
211At,210.987496226,0.000002929
211Bi,210.987268715,0.000005842
211Fr,210.995555189,0.000012872
211Hg,210.999581,0.000215
211Pa,211.023674036,0.000074581
211Pb,210.988735288,0.000002426
211Po,210.986653171,0.000001347
211Ra,211.000893049,0.000005331
211Rn,210.990600767,0.000007314
211Th,211.014896923,0.000092399
211Tl,210.993475,0.000045000
212Ac,212.007836442,0.000023492
212At,211.990737301,0.000002559
212Bi,211.99128503,0.000001989
212Fr,211.99622542,0.000009419
212Hg,212.003242,0.000322
212Pa,212.023184819,0.000094047
212Pb,211.991895891,0.000001975
212Po,211.988867982,0.000001237
212Ra,211.999786619,0.000011007
212Rn,211.990703946,0.000003338
212Th,212.01300157,0.000010852
212Tl,211.998335,0.000215
213Ac,213.006592665,0.000012522
213At,212.992936593,0.000005258
213Bi,212.99438357,0.000005455
213Fr,212.99618441,0.000005053
213Hg,213.008803,0.000322
213Pa,213.021099644,0.000061374
213Pb,212.996560796,0.000007465
213Po,212.992857154,0.000003277
213Ra,213.000370971,0.000010540
213Rn,212.993885147,0.000003618
213Th,213.01301147,0.000009895
213Tl,213.001915,0.000029000
214Ac,214.0069064,0.000014547
214At,213.996372331,0.000004274
214Bi,213.998710909,0.000012033
214Fr,213.998971193,0.000009145
214Hg,214.012636,0.000429
214Pa,214.020891055,0.000087180
214Pb,213.999803521,0.000002114
214Po,213.995201287,0.000001556
214Ra,214.00009956,0.000005636
214Rn,213.99536265,0.000009862
214Th,214.01148148,0.000011445
214Tl,214.00694,0.000210
215Ac,215.006474061,0.000013318
215At,214.998651002,0.000007116
215Bi,215.001749095,0.000006037
215Fr,215.000341534,0.000007585
215Hg,215.018368,0.000429
215Pa,215.019113955,0.000088513
215Pb,215.004661591,0.000056560
215Po,214.999418385,0.000002276
215Ra,215.002718208,0.000007730
215Rn,214.998745037,0.000006538
215Th,215.01172464,0.000006800
215Tl,215.010768,0.000322
215U,215.026719774,0.000111794
216Ac,216.008749101,0.000009908
216At,216.002422643,0.000003837
216Bi,216.006305985,0.000012000
216Fr,216.003189523,0.000004480
216Hg,216.022459,0.000429
216Pa,216.019134633,0.000026459
216Pb,216.008062,0.000215
216Po,216.001913416,0.000001948
216Ra,216.003533534,0.000008592
216Rn,216.000271942,0.000006192
216Th,216.011055933,0.000011920
216Tl,216.015964,0.000322
216U,216.024762829,0.000030158
217Ac,217.009342325,0.000012048
217At,217.004717794,0.000005368
217Bi,217.009372,0.000019000
217Fr,217.00463198,0.000007011
217Pa,217.018309024,0.000013417
217Pb,217.013162,0.000322
217Po,217.006316145,0.000007025
217Ra,217.006322676,0.000007564
217Rn,217.003927632,0.000004506
217Th,217.013103443,0.000011394
217Tl,217.020032,0.000429
217U,217.02466,0.000086
218Ac,218.01164886,0.000061853
218At,218.008695941,0.000012349
218Bi,218.014188,0.000029000
218Fr,218.00757862,0.000004546
218Pa,218.020021133,0.000019158
218Pb,218.016779,0.000322
218Po,218.008971234,0.000002112
218Ra,218.007134297,0.000010528
218Rn,218.005601123,0.000002486
218Th,218.013276248,0.000011289
218Tl,218.025454,0.000429
218U,218.023504877,0.000014722
219Ac,219.012420425,0.000055263
219At,219.011160587,0.000003474
219Bi,219.01752,0.000215
219Fr,219.009250664,0.000007380
219Np,219.031601865,0.000098732
219Pa,219.019949909,0.000074831
219Pb,219.022136,0.000429
219Po,219.013614,0.000017000
219Ra,219.010084715,0.000007315
219Rn,219.009478683,0.000002254
219Th,219.015526432,0.000060611
219U,219.025009233,0.000014319
21Al,21.029082,0.000644
21B,21.084147485,0.000599750
21C,21.049,0.000640
21F,20.999948893,0.000001932
21Mg,21.011705764,0.000000810
21N,21.027087573,0.000143906
21Na,20.997654459,0.000000045
21Ne,20.993846685,0.000000041
21O,21.008654948,0.000012882
220Ac,220.014754527,0.000006579
220At,220.015433,0.000015000
220Bi,220.022501,0.000322
220Fr,220.012326789,0.000004324
220Np,220.03271628,0.000032977
220Pa,220.021769753,0.000015732
220Pb,220.025905,0.000429
220Po,220.016386,0.000019000
220Ra,220.011027542,0.000008153
220Rn,220.011392443,0.000001947
220Th,220.015769866,0.000014693
220U,220.024706,0.000108
221Ac,221.015599721,0.000061086
221At,221.018017,0.000015000
221Bi,221.02598,0.000322
221Fr,221.014253714,0.000005245
221Np,221.03211,0.000215
221Pa,221.021873393,0.000063746
221Po,221.021228,0.000021000
221Pu,221.038572,0.000322
221Ra,221.013917293,0.000004970
221Rn,221.015535637,0.000006134
221Th,221.018185757,0.000008582
221U,221.026323297,0.000077440
222Ac,222.017844232,0.000005044
222At,222.022494,0.000017000
222Bi,222.031079,0.000322
222Fr,222.017582615,0.000008000
222Np,222.033574706,0.000040849
222Pa,222.023687064,0.000092975
222Po,222.02414,0.000043000
222Pu,222.037638,0.000322
222Ra,222.015373371,0.000004781
222Rn,222.017576017,0.000002086
222Th,222.01846822,0.000010966
222U,222.026057957,0.000055817
223Ac,223.019135982,0.000007457
223Am,223.04584,0.000322
223At,223.025151,0.000015000
223Bi,223.034611,0.000429
223Fr,223.019734241,0.000002073
223Np,223.03291334,0.000088956
223Pa,223.023980414,0.000081193
223Po,223.02907,0.000210
223Pu,223.038777,0.000322
223Ra,223.018500648,0.000002243
223Rn,223.021889283,0.000008397
223Th,223.020811083,0.000008527
223U,223.027960754,0.000063396
224Ac,224.021722249,0.000004389
224Am,224.046442,0.000429
224At,224.029749,0.000024000
224Bi,224.039796,0.000429
224Fr,224.023348096,0.000012000
224Np,224.03438803,0.000031052
224Pa,224.025617286,0.000008145
224Po,224.03211,0.000210
224Pu,224.037875,0.000322
224Ra,224.020210361,0.000001944
224Rn,224.024095803,0.000010536
224Th,224.021466137,0.000010310
224U,224.027635913,0.000016383
225Ac,225.023228601,0.000005107
225Am,225.045508,0.000429
225At,225.032528,0.000322
225Fr,225.025572466,0.000012847
225Np,225.033943422,0.000098355
225Pa,225.026147927,0.000087887
225Po,225.037123,0.000322
225Pu,225.03897,0.000322
225Ra,225.023610502,0.000002786
225Rn,225.028485572,0.000011958
225Th,225.023950975,0.000005467
225U,225.02938505,0.000010664
226Ac,226.026096999,0.000003327
226Am,226.04613,0.000322
226At,226.037209,0.000322
226Fr,226.029544512,0.000006688
226Np,226.035230364,0.000109568
226Pa,226.027948217,0.000012037
226Po,226.04031,0.000430
226Pu,226.03825,0.000215
226Ra,226.025408186,0.000002068
226Rn,226.03086138,0.000011247
226Th,226.024903699,0.000004810
226U,226.029338669,0.000011884
227Ac,227.027750594,0.000002068
227Am,227.045282,0.000215
227At,227.040183,0.000322
227Fr,227.031865413,0.000006332
227Np,227.034975012,0.000082651
227Pa,227.028803586,0.000007797
227Po,227.04539,0.000430
227Pu,227.039474,0.000107
227Ra,227.029176205,0.000002089
227Rn,227.035304393,0.000015127
227Th,227.027702546,0.000002241
227U,227.031181124,0.000009136
228Ac,228.031019685,0.000002247
228Am,228.046001,0.000215
228At,228.04496,0.000429
228Fr,228.035839433,0.000007226
228Np,228.036313,0.000108
228Pa,228.031050758,0.000004659
228Pu,228.038763325,0.000025069
228Ra,228.031068574,0.000002141
228Rn,228.037835415,0.000018977
228Th,228.028739741,0.000001938
228U,228.031368959,0.000014465
229Ac,229.032947,0.000013000
229Am,229.045282534,0.000114169
229At,229.048191,0.000429
229Fr,229.038291443,0.000005368
229Np,229.036287269,0.000108618
229Pa,229.032095585,0.000003521
229Pu,229.040145099,0.000065092
229Ra,229.034956703,0.000016576
229Rn,229.042257272,0.000014000
229Th,229.031761357,0.000002581
229U,229.033505976,0.000006374
22Al,22.01954,0.000430
22C,22.05755399,0.000248515
22F,22.002998812,0.000013310
22Mg,21.999570597,0.000000170
22N,22.034100918,0.000223060
22Na,21.994437547,0.000000141
22Ne,21.991385113,0.000000018
22O,22.009965744,0.000061107
22Si,22.036114,0.000537
230Ac,230.036327,0.000017000
230Am,230.046025,0.000153
230Fr,230.042390787,0.000007022
230Np,230.03782806,0.000059051
230Pa,230.034539717,0.000003261
230Pu,230.039648313,0.000015514
230Ra,230.037054776,0.000011053
230Rn,230.045271,0.000215
230Th,230.033132267,0.000001297
230U,230.033940114,0.000004841
231Ac,231.038393,0.000014000
231Am,231.045529,0.000322
231Cm,231.050746,0.000322
231Fr,231.045175353,0.000008300
231Np,231.038243598,0.000054916
231Pa,231.0358825,0.000001901
231Pu,231.041125946,0.000023683
231Ra,231.041027085,0.000012206
231Rn,231.049973,0.000322
231Th,231.036302764,0.000001306
231U,231.03629218,0.000002866
232Ac,232.042034,0.000014000
232Am,232.046613,0.000322
232Cm,232.04974,0.000216
232Fr,232.049461219,0.000015000
232Np,232.040107,0.000107
232Pa,232.038590205,0.000008206
232Pu,232.041182133,0.000018126
232Ra,232.043475267,0.000009823
232Th,232.038053606,0.000001525
232U,232.037154765,0.000001941
233Ac,233.044346,0.000014000
233Am,233.046468,0.000123
233Bk,233.056652,0.000250
233Cm,233.050771485,0.000087059
233Fr,233.052517833,0.000021000
233Np,233.040739421,0.000054729
233Pa,233.040246535,0.000001433
233Pu,233.042997411,0.000058162
233Ra,233.04759457,0.000009235
233Th,233.041580126,0.000001528
233U,233.039634294,0.000002420
234Ac,234.048139,0.000015000
234Am,234.047731,0.000172
234Bk,234.057322,0.000164
234Cm,234.050158568,0.000018333
234Np,234.042893245,0.000009014
234Pa,234.043305555,0.000004395
234Pu,234.043317489,0.000007298
234Ra,234.0503821,0.000009000
234Th,234.043599801,0.000002779
234U,234.040950296,0.000001212
235Ac,235.05084,0.000015000
235Am,235.047906478,0.000056661
235Bk,235.056651,0.000430
235Cm,235.051545,0.000110
235Np,235.044061518,0.000001490
235Pa,235.045399,0.000015000
235Pu,235.045284609,0.000022030
235Ra,235.05489,0.000322
235Th,235.047255,0.000014000
235U,235.043928117,0.000001198
236Ac,236.054988,0.000041000
236Am,236.049427,0.000127
236Bk,236.057479,0.000387
236Cm,236.051372112,0.000018931
236Np,236.046568296,0.000054129
236Pa,236.048668,0.000015000
236Pu,236.046056661,0.000001942
236Th,236.049657,0.000015000
236U,236.04556613,0.000001193
237Ac,237.057993,0.000429
237Am,237.049995,0.000064
237Bk,237.057123,0.000247
237Cf,237.062199272,0.000104506
237Cm,237.052868988,0.000079870
237Np,237.04817164,0.000001201
237Pa,237.051023,0.000014000
237Pu,237.048407888,0.000001821
237Th,237.053629,0.000017000
237U,237.048728309,0.000001290
238Am,238.051982531,0.000063243
238Bk,238.058204,0.000275
238Cf,238.06149,0.000320
238Cm,238.053081606,0.000013133
238Np,238.050944603,0.000001220
238Pa,238.054637,0.000017000
238Pu,238.049558175,0.000001221
238Th,238.056388,0.000304
238U,238.050786936,0.000001601
239Am,239.053022729,0.000002127
239Bk,239.058239,0.000222
239Cf,239.062482,0.000129
239Cm,239.054908519,0.000161107
239Es,239.06831,0.000322
239Np,239.052937538,0.000001406
239Pa,239.05726,0.000210
239Pu,239.052161596,0.000001194
239Th,239.060655,0.000429
239U,239.054291989,0.000001612
23Al,23.007244351,0.000000370
23C,23.06889,0.001070
23F,23.003526875,0.000035770
23Mg,22.994123768,0.000000034
23N,23.039421,0.000451500
23Na,22.98976928195,0.00000000194
23Ne,22.994466905,0.000000112
23O,23.015696686,0.000130663
23Si,23.025711,0.000537
240Am,240.055298374,0.000014849
240Bk,240.059758,0.000161
240Cf,240.062253447,0.000019360
240Cm,240.055528233,0.000002045
240Es,240.068949,0.000393
240Np,240.056163778,0.000018284
240Pa,240.061203,0.000215
240Pu,240.05381174,0.000001186
240U,240.056592411,0.000002740
241Am,241.056827343,0.000001195
241Bk,241.060098,0.000178
241Cf,241.06369,0.000180
241Cm,241.057651218,0.000001725
241Es,241.068592,0.000248
241Fm,241.074311,0.000322
241Np,241.058309671,0.000107360
241Pa,241.064134,0.000322
241Pu,241.056849651,0.000001186
241U,241.06033,0.000210
242Am,242.059547358,0.000001199
242Bk,242.061999,0.000144
242Cf,242.063754544,0.000013840
242Cm,242.058834187,0.000001224
242Es,242.069567,0.000276
242Fm,242.07343,0.000430
242Np,242.061639548,0.000214712
242Pu,242.058740979,0.000001336
242U,242.062931,0.000215
243Am,243.061379889,0.000001490
243Bk,243.063005905,0.000004856
243Cf,243.065475,0.000194
243Cm,243.061387329,0.000001605
243Es,243.069508,0.000222
243Fm,243.074414,0.000140
243Np,243.064204,0.000034
243Pu,243.062002068,0.000002728
243U,243.067075,0.000322
244Am,244.064282892,0.000001600
244Bk,244.065178969,0.000015457
244Cf,244.065999447,0.000002809
244Cm,244.062750622,0.000001187
244Es,244.070881,0.000195
244Fm,244.074036,0.000216
244Md,244.081157,0.000402
244Np,244.067891,0.000107
244Pu,244.064204401,0.000002518
245Am,245.066452827,0.000002024
245Bk,245.066359814,0.000001923
245Cf,245.068046755,0.000002606
245Cm,245.065491047,0.000001233
245Es,245.071192,0.000178
245Fm,245.075354,0.000210
245Md,245.080864,0.000279
245Np,245.070693,0.000215
245Pu,245.067824554,0.000014621
246Am,246.069774,0.000019
246Bk,246.0686713,0.000064433
246Cf,246.068803685,0.000001625
246Cm,246.067222016,0.000001637
246Es,246.072806474,0.000096538
246Fm,246.075353334,0.000014675
246Md,246.081713,0.000279
246Pu,246.070204172,0.000016087
247Am,247.072092,0.000107
247Bk,247.070305889,0.000005570
247Cf,247.070971348,0.000015380
247Cm,247.070352678,0.000004076
247Es,247.073621929,0.000020870
247Fm,247.076944,0.000194
247Md,247.08152,0.000223
247Pu,247.0743,0.000215
248Am,248.075752,0.000215
248Bk,248.073141689,0.000053739
248Cf,248.072182905,0.000005497
248Cm,248.072349086,0.000002531
248Es,248.075469,0.000056
248Fm,248.077185451,0.000009122
248Md,248.082607,0.000198
248No,248.086623,0.000241
249Am,249.07848,0.000320
249Bk,249.074983118,0.000001339
249Cf,249.074850428,0.000001269
249Cm,249.075953992,0.000002545
249Es,249.076409,0.000032
249Fm,249.078926042,0.000006668
249Md,249.082857155,0.000176516
249No,249.087802,0.000300
24Al,23.999947598,0.000000244
24F,24.00809937,0.000104853
24Mg,23.985041689,0.000000013
24N,24.05039,0.000430
24Na,23.990963012,0.000000017
24Ne,23.993610649,0.000000550
24O,24.019861,0.000177000
24P,24.036522,0.000537
24Si,24.01153543,0.000020904
250Bk,250.078317195,0.000003110
250Cf,250.076404494,0.000001650
250Cm,250.078357541,0.000011029
250Es,250.078611,0.000107
250Fm,250.079519765,0.000008468
250Md,250.084164934,0.000097606
250No,250.087565,0.000215
251Bk,251.080760555,0.000011523
251Cf,251.079587171,0.000004187
251Cm,251.082284988,0.000024367
251Es,251.079991431,0.000005676
251Fm,251.08154513,0.000015342
251Lr,251.094289,0.000215
251Md,251.084774287,0.000020310
251No,251.088942,0.000194
252Bk,252.08431,0.000215
252Cf,252.081626507,0.000002531
252Cm,252.08487,0.000320
252Es,252.082979173,0.000053736
252Fm,252.082466019,0.000005604
252Lr,252.095048,0.000198
252Md,252.086385,0.000098000
252No,252.08896607,0.000009975
253Bk,253.08688,0.000385
253Cf,253.085133723,0.000004570
253Es,253.084821241,0.000001341
253Fm,253.085180945,0.000001662
253Lr,253.09503385,0.000176634
253Md,253.087143,0.000034
253No,253.09056278,0.000007420
253Rf,253.100528,0.000440
254Bk,254.0906,0.000320
254Cf,254.087323575,0.000012304
254Es,254.088024337,0.000003152
254Fm,254.086852424,0.000001978
254Lr,254.096238813,0.000098026
254Md,254.08959,0.000107
254No,254.090954211,0.000010367
254Rf,254.100055,0.000304
255Cf,255.091046,0.000215
255Db,255.106919,0.000304
255Es,255.090273504,0.000011612
255Fm,255.089963495,0.000004223
255Lr,255.096562399,0.000019000
255Md,255.091081702,0.000005976
255No,255.093196439,0.000015079
255Rf,255.101267,0.000194
256Cf,256.093442,0.000338
256Db,256.107674,0.000201
256Es,256.093597,0.000107
256Fm,256.091771699,0.000003241
256Lr,256.098494024,0.000089000
256Md,256.093888,0.000133
256No,256.094281912,0.000008103
256Rf,256.101151464,0.000019160
257Db,257.107520042,0.000176741
257Es,257.095979,0.000441
257Fm,257.095105419,0.000004669
257Lr,257.09948,0.000047
257Md,257.095537343,0.000001683
257No,257.096884203,0.000006652
257Rf,257.102916796,0.000011612
258Db,258.108972995,0.000098613
258Es,258.09952,0.000430
258Fm,258.097077,0.000215
258Lr,258.101753,0.000109
258Md,258.098433634,0.000003729
258No,258.098205,0.000107
258Rf,258.103429895,0.000017288
258Sg,258.11304,0.000443
259Db,259.109491859,0.000060854
259Fm,259.100596,0.000304
259Lr,259.1029,0.000076
259Md,259.100445,0.000108
259No,259.100998364,0.000006829
259Rf,259.105601,0.000078
259Sg,259.114353,0.000194
25Al,24.990428308,0.000000069
25F,25.012167727,0.000103535
25Mg,24.985836966,0.000000050
25N,25.0601,0.000540
25Na,24.989953974,0.000001288
25Ne,24.997814797,0.000031181
25O,25.029338919,0.000177225
25P,25.021675,0.000429
25Si,25.004108798,0.000010735
260Bh,260.121443,0.000211
260Db,260.111297,0.000100
260Fm,260.102809,0.000467
260Lr,260.105504,0.000134
260Md,260.10365,0.000339
260No,260.102641,0.000215
260Rf,260.10644,0.000215
260Sg,260.114383435,0.000022045
261Bh,261.121395733,0.000193026
261Db,261.111979,0.000118
261Lr,261.106879,0.000215
261Md,261.105828,0.000546
261No,261.105696,0.000215
261Rf,261.108769591,0.000070492
261Sg,261.115948135,0.000019853
262Bh,262.122654688,0.000099919
262Db,262.114067,0.000154
262Lr,262.109615,0.000215
262Md,262.109144,0.000481
262No,262.107463,0.000387
262Rf,262.109923,0.000240
262Sg,262.116338978,0.000023797
263Bh,263.122916,0.000328
263Db,263.114987,0.000180
263Hs,263.128479,0.000212
263Lr,263.111293,0.000240
263No,263.110714,0.000526
263Rf,263.112461,0.000164
263Sg,263.118299,0.000101
264Bh,264.124486,0.000190
264Db,264.117297,0.000253
264Hs,264.12835633,0.000031005
264Lr,264.114198,0.000468
264No,264.112734,0.000634
264Rf,264.113876,0.000387
264Sg,264.11893,0.000304
265Bh,265.124955,0.000257
265Db,265.1185,0.000240
265Hs,265.129791744,0.000025719
265Lr,265.116193,0.000587
265Mt,265.135937,0.000471
265Rf,265.116683,0.000387
265Sg,265.121089,0.000149
266Bh,266.12679,0.000175
266Db,266.121032,0.000304
266Hs,266.130048783,0.000029099
266Lr,266.119874,0.000579
266Mt,266.137062253,0.000103568
266Rf,266.118236,0.000443
266Sg,266.121973,0.000263
267Bh,267.127499,0.000282
267Db,267.122399,0.000402
267Ds,267.143726,0.000219
267Hs,267.131678,0.000102
267Mt,267.137189,0.000540
267Rf,267.121787,0.000617
267Sg,267.124323,0.000281
268Bh,268.129584,0.000410
268Db,268.125669,0.000568
268Ds,268.143477,0.000324
268Hs,268.132011,0.000322
268Mt,268.138649,0.000250
268Rf,268.123968,0.000711
268Sg,268.125389,0.000504
269Bh,269.130411,0.000402
269Db,269.127911,0.000669
269Ds,269.144750965,0.000033712
269Hs,269.133649,0.000141
269Mt,269.138809,0.000335
269Sg,269.128495,0.000395
26Al,25.986891876,0.000000071
26F,26.020048065,0.000114898
26Mg,25.982592972,0.000000031
26Na,25.992634649,0.000003759
26Ne,26.000516496,0.000019784
26O,26.037210155,0.000177081
26P,26.01178,0.000210
26S,26.029716,0.000644
26Si,25.992333818,0.000000115
270Bh,270.133366,0.000320
270Db,270.131399,0.000617
270Ds,270.14458662,0.000042163
270Hs,270.134313,0.000266
270Mt,270.140322,0.000205
270Sg,270.130362,0.000492
271Bh,271.135115,0.000412
271Ds,271.145951,0.000104
271Hs,271.137082,0.000296
271Mt,271.140741,0.000354
271Sg,271.133782,0.000634
272Bh,272.138259,0.000571
272Ds,272.146091,0.000456
272Hs,272.138492,0.000547
272Mt,272.143298,0.000521
272Rg,272.153273,0.000251
272Sg,272.135825,0.000743
273Bh,273.140294,0.000703
273Ds,273.148455,0.000152
273Hs,273.141458,0.000401
273Mt,273.144695,0.000455
273Rg,273.153393,0.000429
273Sg,273.139475,0.000429
274Bh,274.143599,0.000620
274Ds,274.149434,0.000418
274Hs,274.143217,0.000504
274Mt,274.147343,0.000404
274Rg,274.155247,0.000225
275Bh,275.145766,0.000644
275Ds,275.152085,0.000366
275Hs,275.14653,0.000637
275Mt,275.148972,0.000416
275Rg,275.156088,0.000479
276Bh,276.149169,0.000644
276Cn,276.161418,0.000537
276Ds,276.153022,0.000588
276Hs,276.148348,0.000773
276Mt,276.151705,0.000571
276Rg,276.158226,0.000675
277Bh,277.151477,0.000644
277Cn,277.163535,0.000165
277Ds,277.155763,0.000421
277Hs,277.151772,0.000480
277Mt,277.153525,0.000711
277Rg,277.159322,0.000504
278Bh,278.154988,0.000429
278Cn,278.164083,0.000470
278Ds,278.157007,0.000548
278Hs,278.153753,0.000322
278Mt,278.156487,0.000621
278Nh,278.170725,0.000240
278Rg,278.16159,0.000417
279Cn,279.166422,0.000424
279Ds,279.159984,0.000649
279Hs,279.157274,0.000644
279Mt,279.158439,0.000720
279Nh,279.171187,0.000644
279Rg,279.16288,0.000453
27Al,26.981538408,0.000000050
27F,27.026981897,0.000129037
27Mg,26.984340647,0.000000050
27Na,26.994076408,0.000004000
27Ne,27.007569462,0.000097445
27O,27.047955,0.000537
27P,26.999292499,0.000009662
27S,27.018777,0.000430
27Si,26.986704687,0.000000115
280Cn,280.167102,0.000626
280Ds,280.161375,0.000803
280Hs,280.159335,0.000644
280Mt,280.161579,0.000644
280Nh,280.173098,0.000429
280Rg,280.165204,0.000571
281Cn,281.169563,0.000427
281Ds,281.164545,0.000529
281Mt,281.163608,0.000644
281Nh,281.17371,0.000322
281Rg,281.166757,0.000831
282Cn,282.170507,0.000588
282Ds,282.166174,0.000322
282Mt,282.166888,0.000480
282Nh,282.17577,0.000430
282Rg,282.169343,0.000631
283Cn,283.173202,0.000660
283Ds,283.169437,0.000537
283Nh,283.176666,0.000469
283Rg,283.171101,0.000728
284Cn,284.17436,0.000819
284Ds,284.171187,0.000537
284Fl,284.181192,0.000704
284Nh,284.178843,0.000573
284Rg,284.173882,0.000537
285Cn,285.177227,0.000544
285Fl,285.183503,0.000433
285Nh,285.180106,0.000832
285Rg,285.175771,0.000644
286Cn,286.178691,0.000751
286Fl,286.184226,0.000590
286Nh,286.182456,0.000634
286Rg,286.178756,0.000492
287Cn,287.181826,0.000751
287Fl,287.18672,0.000663
287Mc,287.19082,0.000475
287Nh,287.184064,0.000759
288Cn,288.183501,0.000751
288Fl,288.187781,0.000819
288Mc,288.192879,0.000575
288Nh,288.186764,0.000751
289Fl,289.190517,0.000548
289Lv,289.198023,0.000540
289Mc,289.193971,0.000834
289Nh,289.188461,0.000537
28Al,27.981910009,0.000000052
28Cl,28.030349,0.000537
28F,28.035860448,0.000129198
28Mg,27.983875426,0.000000280
28Na,27.998939,0.000011000
28Ne,28.012130767,0.000135339
28O,28.05591,0.000750
28P,27.99232646,0.000001231
28S,28.004372762,0.000171767
28Si,27.97692653442,0.00000000055
290Fl,290.191875,0.000752
290Lv,290.198635,0.000593
290Mc,290.196235,0.000635
290Nh,290.191429,0.000503
291Fl,291.194848,0.000751
291Lv,291.201014,0.000669
291Mc,291.197725,0.000789
291Ts,291.205748,0.000640
292Lv,292.201969,0.000819
292Mc,292.200323,0.000751
292Ts,292.207861,0.000718
293Lv,293.204583,0.000553
293Og,293.213423,0.000761
293Ts,293.208727,0.000835
294Og,294.213979,0.000594
294Ts,294.21084,0.000637
295Og,295.216178,0.000703
29Al,28.980453164,0.000000370
29Ar,29.040761,0.000471
29Cl,29.015053,0.000203
29F,29.043103,0.000564000
29Mg,28.988607163,0.000000369
29Na,29.002877091,0.000007876
29Ne,29.019753,0.000160500
29P,28.981800368,0.000000385
29S,28.996678,0.000014000
29Si,28.97649466434,0.00000000060
2H,2.014101777844,0.000000000015
30Al,29.982969171,0.000002077
30Ar,30.023694,0.000192
30Cl,30.005018333,0.000025631
30F,30.052561,0.000537
30Mg,29.990465454,0.000001390
