# Numbers extracted using tools/atomic_weights.ipynb from https://www.ciaaw.org/atomic-masses.htm
Isotope,Atomic Mass [Da],Uncertainty [Da]
116Cd,115.90476323,0.000000172
116Cs,115.933395,0.000108
116I,115.916885513,0.000080555
116In,115.905259992,0.000000236
116La,115.957005,0.000345
116Mo,115.955759,0.000537
116Nb,115.972914,0.000322
116Pd,115.914297872,0.000007659
116Rh,115.92406206,0.000079261
116Ru,115.931219191,0.000004000
116Sb,115.906792732,0.000005533
116Sn,115.901742825,0.000000103
116Tc,115.94502,0.000320
116Te,115.908465558,0.000025986
116Xe,115.921580955,0.000013974
117Ag,116.911774086,0.000014570
117Ba,116.938316403,0.000268749
117Cd,116.907226039,0.000001087
117Cs,116.928616723,0.000067000
117I,116.913645649,0.000027437
117In,116.904515729,0.000005239
117La,116.950326,0.000215
117Mo,116.961686,0.000537
117Pd,116.917955584,0.000007788
117Rh,116.926036291,0.000009548
117Ru,116.936135,0.000465000
117Sb,116.904841519,0.000009057
117Sn,116.902954036,0.000000518
117Tc,116.94832,0.000429
117Te,116.908646227,0.000014444
117Xe,116.920358758,0.000011141
118Ag,117.914595484,0.000002700
118Ba,117.933226,0.000215
118Cd,117.906921956,0.000021471
118Cs,117.926559517,0.000013690
118I,117.913074,0.000021213
118In,117.906356705,0.000008322
118La,117.946731,0.000322
118Mo,117.965249,0.000537
118Pd,117.919067273,0.000002677
118Rh,117.930341116,0.000026018
118Ru,117.938808,0.000215
118Sb,117.905532194,0.000003237
118Sn,117.90160663,0.000000536
118Tc,117.953526,0.000429
118Te,117.905860104,0.000019652
118Xe,117.916178678,0.000011141
119Ag,118.915570309,0.000015783
119Ba,118.930659683,0.000214997
119Cd,118.909847052,0.000040467
119Ce,118.952957,0.000537
119Cs,118.922377327,0.000014965
119I,118.91006091,0.000023302
119In,118.905851622,0.000007847
119La,118.940934,0.000322
119Mo,118.971465,0.000322
119Pd,118.923341138,0.000008854
119Rh,118.932556951,0.000010000
119Ru,118.94409,0.000322
119Sb,118.903944062,0.000007512
119Sn,118.903311266,0.000000778
119Tc,118.956876,0.000537
119Te,118.906405699,0.000007813
119Xe,118.915410641,0.000011141
11B,11.009305166,0.000000013
11Be,11.02166108,0.000000255
11C,11.011432597,0.000000064
11Li,11.043723581,0.000000660
11N,11.026157593,0.000005368
11O,11.051249828,0.000064453
120Ag,119.918784765,0.000004800
120Ba,119.926044997,0.000322241
120Cd,119.909868065,0.000004000
120Ce,119.946613,0.000537
120Cs,119.920677277,0.000010702
120I,119.910093729,0.000016212
120In,119.907967489,0.000042953
120La,119.938196,0.000322
120Pd,119.924551745,0.000002464
120Rh,119.937069,0.000215
120Ru,119.946623,0.000429
120Sb,119.905080308,0.000007728
120Sn,119.902202557,0.000000987
120Tc,119.962426,0.000537
120Te,119.904065779,0.000001880
120Xe,119.911784267,0.000012686
121Ag,120.920125279,0.000013000
121Ba,120.924052286,0.000152333
121Cd,120.91296366,0.000002085
121Ce,120.943435,0.000430
121Cs,120.917227235,0.000015340
121I,120.907411492,0.000005070
121In,120.907852778,0.000029435
121La,120.933236,0.000322
121Pd,120.928950342,0.000003600
121Pr,120.955393,0.000537
121Rh,120.939613,0.000665000
121Ru,120.952098,0.000429
121Sb,120.903811353,0.000002690
121Sn,120.904243488,0.000001050
121Tc,120.96614,0.000537
121Te,120.904945065,0.000027734
121Xe,120.911453012,0.000010995
122Ag,121.923664446,0.000041000
122Ba,121.919904,0.000030000
122Cd,121.91345905,0.000002468
122Ce,121.93787,0.000430
122Cs,121.916108144,0.000036164
122I,121.907590094,0.000005561
122In,121.910282458,0.000053741
122La,121.93071,0.000320
122Pd,121.930631693,0.000021000
122Pr,121.951927,0.000537
122Rh,121.944305,0.000322
122Ru,121.955147,0.000537
122Sb,121.905169335,0.000002687
122Sn,121.903445494,0.000002627
122Tc,121.97176,0.000322
122Te,121.903044708,0.000001456
122Xe,121.908367655,0.000011928
123Ag,122.92531506,0.000035000
123Ba,122.91878106,0.000013000
123Cd,122.91689246,0.000002894
123Ce,122.93528,0.000320
123Cs,122.91299606,0.000013000
123I,122.905589753,0.000003956
123In,122.910435252,0.000021290
123La,122.9263,0.000210
123Pd,122.935126,0.000847500
123Pr,122.946076,0.000429
123Rh,122.947192,0.000429
123Ru,122.960762,0.000537
123Sb,122.904215292,0.000001456
123Sn,122.905727065,0.000002661
123Te,122.904271022,0.000001454
123Xe,122.908482235,0.000010234
124Ag,123.928899227,0.000270000
124Ba,123.915093627,0.000013416
124Cd,123.917659772,0.000002800
124Ce,123.93031,0.000320
124Cs,123.912247366,0.000009823
124I,123.906210297,0.000002467
124In,123.913184873,0.000032808
124La,123.924574275,0.000060836
124Nd,123.951873,0.000537
124Pd,123.937305,0.000322
124Pr,123.94294,0.000430
124Rh,123.952002,0.000429
124Ru,123.96394,0.000644
124Sb,123.905937065,0.000001457
124Sn,123.905279619,0.000001410
124Te,123.902818341,0.000001451
124Xe,123.905885174,0.000001457
125Ag,124.930735,0.000465000
125Ba,124.91447184,0.000011800
125Cd,124.92125759,0.000003100
125Ce,124.92844,0.000210
125Cs,124.909725953,0.000008304
125I,124.90463061,0.000001452
125In,124.913673841,0.000001900
125La,124.920815931,0.000027909
125Nd,124.948395,0.000429
125Pd,124.942072,0.000429
125Pr,124.937659,0.000322
125Rh,124.955094,0.000537
125Ru,124.969544,0.000322
125Sb,124.905254264,0.000002700
125Sn,124.90778937,0.000001426
125Te,124.904431178,0.000001451
125Xe,124.90638764,0.000001518
126Ag,125.934814,0.000215
126Ba,125.911250202,0.000013416
126Cd,125.92243029,0.000002473
126Ce,125.923971,0.000030000
126Cs,125.909445821,0.000011120
126I,125.905624205,0.000004055
126In,125.916468202,0.000004500
126La,125.919512667,0.000097163
126Nd,125.942694,0.000322
126Pd,125.944401,0.000429
126Pm,125.957327,0.000537
126Pr,125.93524,0.000210
126Rh,125.960064,0.000537
126Sb,125.907253158,0.000034189
126Sn,125.907658958,0.000011473
126Te,125.903312144,0.000001453
126Xe,125.904297422,0.000000006
127Ag,126.937037,0.000215
127Ba,126.911091272,0.000012192
127Cd,126.926203291,0.000006656
127Ce,126.922727,0.000031000
127Cs,126.907417527,0.000005987
127I,126.904472592,0.000003887
127In,126.91746604,0.000010736
127La,126.916375083,0.000027912
127Nd,126.939978,0.000322
127Pd,126.949307,0.000537
127Pm,126.951358,0.000429
127Pr,126.93071,0.000210
127Rh,126.963789,0.000644
127Sb,126.906925557,0.000005457
127Sn,126.910391726,0.000009904
127Te,126.905226993,0.000001465
127Xe,126.905183636,0.000004388
128Ag,127.941266,0.000322
128Ba,127.908352446,0.000001728
128Cd,127.927816778,0.000006905
128Ce,127.918911,0.000030000
128Cs,127.907748452,0.000005771
128I,127.905809355,0.000003887
128In,127.920353637,0.000001419
128La,127.915592123,0.000058452
128Nd,127.935018,0.000215
128Pd,127.952345,0.000537
128Pm,127.948234,0.000322
128Pr,127.928791,0.000032000
128Rh,127.970649,0.000322
128Sb,127.909146121,0.000020169
128Sm,127.957971,0.000537
128Sn,127.910507828,0.000018982
128Te,127.904461237,0.000000758
128Xe,127.90353075341,0.00000000558
129Ag,128.944315,0.000429
129Ba,128.908683409,0.000011276
129Cd,128.932235597,0.000005700
129Ce,128.918102,0.000030000
129Cs,128.90606591,0.000004888
129I,128.904983643,0.000003385
129In,128.921808534,0.000002116
129La,128.912695592,0.000022913
129Nd,128.933038,0.000217
129Pd,128.959334,0.000644
129Pm,128.942909,0.000322
129Pr,128.925095,0.000032000
129Sb,128.909146623,0.000022786
129Sm,128.954557,0.000537
129Sn,128.91348244,0.000018540
129Te,128.906596419,0.000000763
129Xe,128.90478085742,0.00000000542
12B,12.014352638,0.000001418
12Be,12.026922082,0.000002048
12C,12.0,0.0000000
12Li,12.052613942,0.000032213
12N,12.01861318,0.000001073
12O,12.034367726,0.000012882
130Ag,129.950727,0.000455
130Ba,129.906326002,0.000000308
130Cd,129.934387563,0.000024000
130Ce,129.914736,0.000030000
130Cs,129.906709281,0.000008971
130Eu,129.964022,0.000578
130I,129.906670168,0.000003385
130In,129.924952257,0.000001921
130La,129.912369413,0.000027854
130Nd,129.928506,0.000030000
130Pd,129.964863,0.000322
130Pm,129.940451,0.000215
130Pr,129.92359,0.000069000
130Sb,129.911662686,0.000015257
130Sm,129.948792,0.000429
130Sn,129.913974531,0.000002010
130Te,129.906222745,0.000000011
130Xe,129.903509346,0.000000010
131Ag,130.956253,0.000537
131Ba,130.906946315,0.000000445
131Cd,130.94072774,0.000020653
131Ce,130.914429465,0.000035214
131Cs,130.905468457,0.000000190
131Eu,130.957634,0.000429
131I,130.906126375,0.000000649
131In,130.926972839,0.000002367
131La,130.91007,0.000030000
131Nd,130.92724802,0.000029541
131Pd,130.972367,0.000322
131Pm,130.935834,0.000215
131Pr,130.92023496,0.000050451
131Sb,130.911989339,0.000002236
131Sm,130.946022,0.000429
131Sn,130.917053067,0.000003887
131Te,130.90852221,0.000000065
131Xe,130.90508412808,0.00000000549
132Ag,131.96307,0.000537
132Ba,131.905061231,0.000001130
132Cd,131.945823136,0.000064485
132Ce,131.911466226,0.000021907
132Cs,131.90643774,0.000001112
132Eu,131.954696,0.000429
132I,131.907993511,0.000004364
132In,131.932998444,0.000064447
132La,131.910119047,0.000039032
132Nd,131.923321237,0.000025985
132Pm,131.93384,0.000160
132Pr,131.91924,0.000031000
132Sb,131.914508013,0.000002648
132Sm,131.940805,0.000322
132Sn,131.917823898,0.000002121
132Te,131.908546713,0.000003742
132Xe,131.90415508346,0.00000000544
133Ag,132.968781,0.000537
133Ba,132.906007443,0.000001065
133Cd,132.952614,0.000215
133Ce,132.911520402,0.000017557
133Cs,132.905451958,0.000000008
133Eu,132.94929,0.000320
133Gd,132.961288,0.000537
133I,132.9078284,0.000006335
133In,132.938067,0.000215
133La,132.908218,0.000030000
133Nd,132.922348,0.000050000
133Pm,132.929782,0.000054000
133Pr,132.916330558,0.000013416
133Sb,132.915272128,0.000003357
133Sm,132.93856,0.000320
133Sn,132.923913753,0.000002043
133Te,132.91096333,0.000002218
133Xe,132.905910748,0.000002576
134Ba,133.904508249,0.000000269
134Cd,133.957638,0.000322
134Ce,133.908928142,0.000021886
134Cs,133.906718501,0.000000017
134Eu,133.946537,0.000322
134Gd,133.955416,0.000429
134I,133.90977566,0.000005213
134In,133.944208,0.000215
134La,133.908514011,0.000021395
134Nd,133.918790207,0.000012686
134Pm,133.928326,0.000045000
134Pr,133.915696729,0.000021810
134Sb,133.920537334,0.000003300
134Sm,133.93411,0.000210
134Sn,133.92868043,0.000003400
134Te,133.911396376,0.000002948
134Xe,133.90539303,0.000000006
135Ba,134.905688447,0.000000263
135Cd,134.964766,0.000429
135Ce,134.909160662,0.000011021
135Cs,134.905976907,0.000000390
135Eu,134.94187,0.000210
135Gd,134.952496,0.000429
135I,134.910059355,0.000002211
135In,134.949425,0.000322
135La,134.906984427,0.000010126
135Nd,134.918181318,0.000020534
135Pm,134.924785,0.000089000
135Pr,134.913111772,0.000012686
135Sb,134.925184354,0.000002834
135Sm,134.93252,0.000166000
135Sn,134.934908603,0.000003300
135Tb,134.964516,0.000429
135Te,134.916554715,0.000001848
135Xe,134.907231441,0.000003938
136Ba,135.9045758,0.000000262
136Ce,135.907129256,0.000000348
136Cs,135.907311431,0.000002010
136Eu,135.93962,0.000210
136Gd,135.9473,0.000320
136I,135.914604693,0.000015231
136In,135.956017,0.000322
136La,135.907634962,0.000057081
136Nd,135.914976061,0.000012686
136Pm,135.923595949,0.000074152
136Pr,135.91267747,0.000012296
136Sb,135.930749009,0.000006258
136Sm,135.928275553,0.000013416
136Sn,135.939699,0.000215
136Tb,135.96146,0.000537
136Te,135.92010118,0.000002448
136Xe,135.907214474,0.000000007
137Ba,136.905827207,0.000000266
137Ce,136.907762416,0.000000386
137Cs,136.907089296,0.000000324
137Eu,136.935430719,0.000004700
137Gd,136.94502,0.000320
137I,136.918028178,0.000009000
137In,136.961535,0.000429
137La,136.906450438,0.000001760
137Nd,136.914563099,0.000012586
137Pm,136.920479519,0.000014000
137Pr,136.910679183,0.000008733
137Sb,136.935522519,0.000056000
137Sm,136.927007959,0.000030718
137Sn,136.946162,0.000322
137Tb,136.95602,0.000430
137Te,136.925599354,0.000002254
137Xe,136.911557771,0.000000111
138Ba,137.905247059,0.000000267
138Ce,137.90599418,0.000000536
138Cs,137.911017119,0.000009831
138Dy,137.9625,0.000540
138Eu,137.933709,0.000030000
138Gd,137.940247,0.000215
138I,137.922726392,0.000006400
138La,137.907124041,0.000000446
138Nd,137.911950938,0.000012456
138Pm,137.919576119,0.000012456
138Pr,137.910757495,0.000010748
138Sb,137.941331,0.000322
138Sm,137.923243988,0.000012686
138Sn,137.951143,0.000429
138Tb,137.953193,0.000322
138Te,137.929472452,0.000004065
138Xe,137.914146268,0.000003010
139Ba,138.908841164,0.000000271
139Ce,138.906647029,0.000002242
139Cs,138.913363822,0.000003364
139Dy,138.959527,0.000537
139Eu,138.929792307,0.000014117
139Gd,138.93813,0.000210
139I,138.9264934,0.000004300
139La,138.906362927,0.000000651
139Nd,138.911951208,0.000029545
139Pm,138.916799228,0.000014587
139Pr,138.9089327,0.000003917
139Sb,138.946269,0.000429
139Sm,138.922296631,0.000011684
139Sn,138.957799,0.000429
139Tb,138.94833,0.000320
139Te,138.935367191,0.000003800
139Xe,138.9187922,0.000002300
13B,13.017779981,0.000001073
13Be,13.036134506,0.000010929
13C,13.00335483534,0.00000000025
13F,13.045121,0.000537
13Li,13.061171503,0.000075150
13N,13.005738609,0.000000289
13O,13.024815435,0.000010226
140Ba,139.910608231,0.000008480
140Ce,139.905448433,0.000001409
